opened. file name:some_file.txt, mode:w, time:20:28:16.458625
closed. file name:some_file.txt, mode:w, time:20:28:16.458625
opened. file name:some_file.txt, mode:w, time:20:28:16.458625
closed. file name:some_file.txt, mode:w, time:20:28:16.458625
opened. file name:test.txt, mode:w, time:20:28:16.462633
closed. file name:test.txt, mode:w, time:20:28:16.462633
opened. file name:test.txt, mode:w, time:20:28:16.462633
closed. file name:test.txt, mode:w, time:20:28:16.462633
opened. file name:some_file.txt, mode:w, time:20:30:15.734608
closed. file name:some_file.txt, mode:w, time:20:30:15.734608
opened. file name:some_file.txt, mode:w, time:20:30:15.734608
closed. file name:some_file.txt, mode:w, time:20:30:15.734608
opened. file name:test.txt, mode:w, time:20:30:15.734608
closed. file name:test.txt, mode:w, time:20:30:15.734608
opened. file name:test.txt, mode:w, time:20:30:15.734608
closed. file name:test.txt, mode:w, time:20:30:15.734608
opened. file name:some_file.txt, mode:w, time:20:31:00.986987
closed. file name:some_file.txt, mode:w, time:20:31:00.986987
opened. file name:some_file.txt, mode:w, time:20:31:00.986987
closed. file name:some_file.txt, mode:w, time:20:31:00.986987
opened. file name:test.txt, mode:w, time:20:31:00.986987
closed. file name:test.txt, mode:w, time:20:31:00.986987
opened. file name:test.txt, mode:w, time:20:31:01.005766
closed. file name:test.txt, mode:w, time:20:31:01.005766
opened. file name:some_test.txt, mode:r, time:20:31:01.005766
closed. file name:some_test.txt, mode:r, time:20:31:01.005766
opened. file name:some_test.txt, mode:r, time:20:31:01.005766
closed. file name:some_test.txt, mode:r, time:20:31:01.005766
opened. file name:some_file.txt, mode:w, time:20:32:20.238871
closed. file name:some_file.txt, mode:w, time:20:32:20.238871
opened. file name:some_file.txt, mode:w, time:20:32:20.238871
closed. file name:some_file.txt, mode:w, time:20:32:20.238871
opened. file name:some_file.txt, mode:w, time:20:32:26.361154
closed. file name:some_file.txt, mode:w, time:20:32:26.376785
opened. file name:some_file.txt, mode:w, time:20:32:26.378401
closed. file name:some_file.txt, mode:w, time:20:32:26.379446
opened. file name:test.txt, mode:w, time:20:32:26.380488
closed. file name:test.txt, mode:w, time:20:32:26.381542
opened. file name:test.txt, mode:w, time:20:32:26.382599
closed. file name:test.txt, mode:w, time:20:32:26.382599
opened. file name:some_test.txt, mode:r, time:20:32:26.383647
closed. file name:some_test.txt, mode:r, time:20:32:26.383647
opened. file name:some_test.txt, mode:r, time:20:32:26.384695
closed. file name:some_test.txt, mode:r, time:20:32:26.384695
